,Random,Greedy
319,14.0,1.0
320,17.0,3.0
321,13.0,1.0
322,21.0,2.0
323,15.0,1.0
324,13.0,0.0
325,49.0,1.0
326,11.0,1.0
327,14.0,0.0
328,39.0,2.0
329,15.0,0.0
330,10.0,1.0
331,19.0,0.0
332,10.0,2.0
333,13.0,0.0
334,14.0,1.0
335,17.0,1.0
336,47.0,4.0
337,25.0,1.0
338,13.0,0.0
339,26.0,2.0
340,18.0,0.0
341,13.0,1.0
342,19.0,1.0
343,13.0,2.0
344,20.0,0.0
345,76.0,6.0
346,14.0,1.0
347,14.0,1.0
348,24.0,1.0
349,26.0,3.0
350,22.0,0.0
351,16.0,0.0
352,28.0,1.0
353,14.0,2.0
354,18.0,0.0
355,21.0,2.0
356,38.0,2.0
357,34.0,0.0
358,9.0,0.0
359,17.0,0.0
360,12.0,0.0
361,25.0,1.0
362,14.0,1.0
363,36.0,2.0
364,10.0,0.0
365,20.0,0.0
366,17.0,0.0
367,25.0,2.0
368,22.0,0.0
369,27.0,2.0
370,11.0,2.0
371,45.0,4.0
372,11.0,0.0
373,11.0,2.0
374,22.0,1.0
375,35.0,2.0
376,27.0,1.0
377,18.0,0.0
378,11.0,0.0
379,33.0,2.0
380,20.0,0.0
381,26.0,0.0
382,9.0,2.0
383,19.0,2.0
384,14.0,1.0
385,12.0,0.0
386,10.0,1.0
387,30.0,0.0
388,13.0,0.0
389,26.0,3.0
390,20.0,1.0
391,12.0,1.0
392,17.0,0.0
393,8.0,0.0
394,12.0,0.0
395,11.0,1.0
396,32.0,3.0
397,13.0,1.0
398,29.0,1.0
399,10.0,1.0
400,10.0,0.0
401,11.0,0.0
402,8.0,1.0
403,41.0,2.0
404,24.0,1.0
405,10.0,1.0
406,15.0,3.0
407,21.0,1.0
408,13.0,0.0
409,40.0,5.0
410,18.0,0.0
411,49.0,4.0
412,16.0,0.0
413,11.0,1.0
414,10.0,1.0
415,26.0,0.0
416,21.0,1.0
417,27.0,2.0
418,8.0,3.0
419,10.0,3.0
420,39.0,0.0
421,20.0,1.0
422,14.0,0.0
423,32.0,2.0
424,42.0,3.0
425,17.0,2.0
426,15.0,0.0
427,18.0,3.0
428,24.0,2.0
429,29.0,1.0
430,11.0,2.0
431,13.0,1.0
432,16.0,0.0
433,9.0,0.0
434,14.0,1.0
435,18.0,3.0
436,20.0,0.0
437,15.0,2.0
438,12.0,0.0
439,13.0,2.0
440,11.0,2.0
441,29.0,2.0
442,9.0,0.0
443,15.0,1.0
444,28.0,1.0
445,14.0,0.0
446,15.0,0.0
447,16.0,1.0
448,43.0,0.0
449,21.0,1.0
450,15.0,2.0
451,46.0,1.0
452,10.0,0.0
453,28.0,2.0
454,8.0,2.0
455,26.0,1.0
456,19.0,3.0
457,13.0,0.0
458,14.0,2.0
459,13.0,0.0
460,44.0,3.0
461,16.0,1.0
462,8.0,1.0
463,35.0,3.0
464,29.0,3.0
465,16.0,1.0
466,18.0,1.0
467,14.0,0.0
468,29.0,3.0
469,15.0,1.0
470,11.0,2.0
471,15.0,1.0
472,13.0,1.0
473,14.0,0.0
474,16.0,3.0
475,60.0,3.0
476,27.0,2.0
477,31.0,1.0
478,16.0,0.0
479,18.0,1.0
480,18.0,1.0
481,13.0,1.0
482,12.0,0.0
483,16.0,1.0
484,9.0,1.0
485,13.0,0.0
486,46.0,4.0
487,22.0,0.0
488,18.0,0.0
489,29.0,3.0
490,31.0,0.0
491,11.0,1.0
492,36.0,0.0
493,10.0,0.0
494,14.0,0.0
495,12.0,1.0
496,26.0,1.0
497,11.0,3.0
498,10.0,2.0
499,44.0,2.0
500,10.0,1.0
501,27.0,1.0
502,7.0,2.0
503,25.0,3.0
504,9.0,1.0
505,14.0,1.0
506,13.0,1.0
507,17.0,0.0
508,15.0,1.0
509,12.0,1.0
510,35.0,4.0
511,39.0,1.0
512,15.0,0.0
513,63.0,8.0
514,19.0,1.0
515,17.0,0.0
516,36.0,1.0
517,39.0,1.0
518,16.0,2.0
519,8.0,1.0
520,19.0,0.0
521,12.0,0.0
522,18.0,3.0
523,13.0,2.0
524,29.0,2.0
525,26.0,5.0
526,16.0,0.0
527,21.0,0.0
528,11.0,1.0
529,9.0,1.0
530,11.0,1.0
531,22.0,0.0
532,20.0,2.0
533,28.0,0.0
534,15.0,2.0
535,23.0,4.0
536,24.0,1.0
537,12.0,1.0
538,35.0,1.0
539,29.0,5.0
540,30.0,4.0
541,24.0,5.0
542,8.0,1.0
543,35.0,2.0
544,14.0,1.0
545,44.0,4.0
546,40.0,1.0
547,16.0,0.0
548,16.0,0.0
549,9.0,2.0
550,9.0,1.0
551,20.0,0.0
552,18.0,2.0
553,32.0,4.0
554,31.0,1.0
555,12.0,2.0
556,11.0,2.0
557,13.0,1.0
558,21.0,1.0
559,17.0,1.0
560,9.0,2.0
561,14.0,1.0
562,61.0,3.0
563,47.0,3.0
564,34.0,6.0
565,18.0,5.0
566,15.0,3.0
567,11.0,1.0
568,35.0,0.0
569,13.0,1.0
570,33.0,6.0
571,11.0,4.0
572,19.0,1.0
573,10.0,2.0
574,22.0,6.0
575,13.0,2.0
576,13.0,0.0
577,14.0,1.0
578,15.0,2.0
579,17.0,3.0
580,17.0,4.0
581,20.0,2.0
582,12.0,3.0
583,18.0,0.0
584,38.0,4.0
585,31.0,2.0
586,10.0,1.0
587,27.0,1.0
588,9.0,1.0
589,11.0,2.0
590,13.0,1.0
591,7.0,2.0
592,31.0,2.0
593,23.0,3.0
594,19.0,3.0
595,22.0,2.0
596,9.0,1.0
597,15.0,2.0
598,14.0,0.0
599,13.0,1.0
600,16.0,0.0
601,16.0,0.0
602,51.0,5.0
603,16.0,0.0
604,36.0,3.0
605,29.0,1.0
606,49.0,7.0
607,10.0,0.0
608,20.0,0.0
609,17.0,1.0
610,19.0,1.0
611,19.0,1.0
612,43.0,4.0
613,12.0,3.0
614,19.0,1.0
615,12.0,2.0
616,14.0,2.0
617,65.0,10.0
618,22.0,2.0
619,30.0,3.0
620,25.0,3.0
621,43.0,4.0
622,15.0,1.0
623,8.0,2.0
624,36.0,4.0
625,21.0,1.0
626,10.0,1.0
627,14.0,2.0
628,10.0,0.0
629,21.0,2.0
630,18.0,2.0
631,12.0,2.0
632,11.0,3.0
633,17.0,2.0
634,21.0,0.0
635,8.0,1.0
636,35.0,2.0
637,17.0,3.0
638,9.0,2.0
639,12.0,2.0
640,17.0,2.0
641,12.0,1.0
642,16.0,1.0
643,16.0,1.0
644,46.0,1.0
645,18.0,4.0
646,12.0,0.0
647,14.0,0.0
648,45.0,3.0
649,18.0,2.0
650,12.0,3.0
651,28.0,3.0
652,25.0,1.0
653,14.0,1.0
654,15.0,1.0
655,8.0,1.0
656,13.0,1.0
657,14.0,3.0
658,12.0,3.0
659,22.0,0.0
660,14.0,2.0
661,32.0,4.0
662,11.0,3.0
663,11.0,3.0
664,17.0,2.0
665,14.0,1.0
666,10.0,0.0
667,13.0,2.0
668,13.0,2.0
669,9.0,0.0
670,11.0,1.0
671,14.0,2.0
672,15.0,2.0
673,18.0,2.0
674,9.0,1.0
675,19.0,2.0
676,15.0,1.0
677,22.0,4.0
678,11.0,0.0
679,12.0,4.0
680,16.0,3.0
681,14.0,3.0
682,19.0,3.0
683,13.0,3.0
684,10.0,2.0
685,20.0,1.0
686,12.0,3.0
687,18.0,2.0
688,15.0,3.0
689,18.0,2.0
690,15.0,4.0
691,12.0,3.0
692,66.0,4.0
693,7.0,1.0
694,29.0,1.0
695,9.0,0.0
696,12.0,1.0
697,27.0,2.0
698,23.0,5.0
699,8.0,1.0
700,25.0,2.0
701,11.0,1.0
702,13.0,2.0
703,11.0,3.0
704,28.0,2.0
705,28.0,1.0
706,14.0,0.0
707,21.0,2.0
708,26.0,2.0
709,18.0,0.0
710,9.0,2.0
711,18.0,2.0
712,21.0,4.0
713,48.0,5.0
714,66.0,7.0
715,8.0,2.0
716,14.0,0.0
717,24.0,4.0
718,8.0,2.0
719,18.0,1.0
720,14.0,1.0
721,11.0,0.0
722,18.0,3.0
723,37.0,4.0
724,18.0,2.0
725,37.0,3.0
726,15.0,1.0
727,12.0,0.0
728,28.0,4.0
729,26.0,3.0
730,12.0,1.0
731,27.0,3.0
732,14.0,3.0
733,25.0,4.0
734,16.0,3.0
735,20.0,4.0
736,23.0,2.0
737,9.0,2.0
738,14.0,1.0
739,31.0,0.0
740,11.0,1.0
741,22.0,3.0
742,10.0,0.0
743,13.0,4.0
744,28.0,2.0
745,10.0,4.0
746,16.0,2.0
747,10.0,2.0
748,32.0,4.0
749,10.0,1.0
750,27.0,4.0
751,12.0,1.0
752,14.0,1.0
753,19.0,1.0
754,31.0,5.0
755,29.0,6.0
756,12.0,3.0
757,12.0,0.0
758,19.0,3.0
759,12.0,1.0
760,11.0,1.0
761,27.0,2.0
762,13.0,2.0
763,81.0,4.0
764,11.0,3.0
765,18.0,2.0
766,12.0,1.0
767,33.0,7.0
768,9.0,1.0
769,24.0,1.0
770,33.0,2.0
771,8.0,1.0
772,13.0,2.0
773,10.0,2.0
774,15.0,2.0
775,17.0,1.0
776,13.0,1.0
777,11.0,2.0
778,16.0,3.0
779,11.0,1.0
780,18.0,0.0
781,18.0,3.0
782,12.0,2.0
783,24.0,2.0
784,16.0,2.0
785,14.0,2.0
786,20.0,2.0
787,15.0,3.0
788,17.0,2.0
789,16.0,1.0
790,26.0,5.0
791,22.0,3.0
792,17.0,2.0
793,11.0,2.0
794,14.0,2.0
795,11.0,1.0
796,21.0,1.0
797,23.0,2.0
798,27.0,6.0
799,11.0,1.0
800,40.0,1.0
801,17.0,3.0
802,15.0,7.0
803,22.0,2.0
804,11.0,1.0
805,22.0,3.0
806,19.0,2.0
807,10.0,1.0
808,23.0,4.0
809,22.0,1.0
810,64.0,5.0
811,15.0,3.0
812,15.0,3.0
813,34.0,2.0
814,22.0,2.0
815,23.0,4.0
816,28.0,1.0
817,17.0,2.0
818,32.0,6.0
819,19.0,2.0
820,18.0,3.0
821,17.0,1.0
822,11.0,1.0
823,29.0,0.0
824,50.0,5.0
825,17.0,4.0
826,9.0,1.0
827,22.0,2.0
828,15.0,3.0
829,38.0,4.0
830,18.0,1.0
831,31.0,4.0
832,10.0,3.0
833,17.0,2.0
834,14.0,4.0
835,11.0,1.0
836,13.0,4.0
837,15.0,2.0
838,13.0,3.0
839,11.0,2.0
840,22.0,1.0
841,19.0,6.0
842,10.0,1.0
843,11.0,2.0
844,13.0,2.0
845,10.0,1.0
846,31.0,6.0
847,24.0,3.0
848,13.0,1.0
849,11.0,1.0
850,10.0,2.0
851,28.0,0.0
852,17.0,2.0
853,21.0,2.0
854,24.0,3.0
